hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 0.00100, 127.459, 38.3974, 125.394, 55.6795, 111.682, 43.6648
0, 0.00200, 122.509, 36.7025, 120.21, 55.0481, 105.713, 42.2211
0, 0.00300, 119.252, 35.3645, 116.787, 54.4824, 101.713, 41.0774
0, 0.00400, 117.183, 34.445, 114.596, 54.1159, 99.1096, 40.2951
0, 0.00500, 115.908, 33.7858, 113.199, 53.8784, 97.4122, 39.7179
0, 0.00600, 115.186, 33.3417, 112.341, 53.7326, 96.369, 39.2877
0, 0.00700, 114.835, 33.0702, 111.86, 53.6332, 95.807, 38.9753
0, 0.00800, 114.715, 32.9217, 111.661, 53.5479, 95.5925, 38.7748
0, 0.00900, 114.739, 32.8313, 111.687, 53.4688, 95.6035, 38.6785
0, 0.01000, 114.873, 32.7525, 111.897, 53.4197, 95.7431, 38.6675
0, 0.01100, 115.119, 32.6641, 112.232, 53.4301, 95.9418, 38.6973
0, 0.01200, 115.48, 32.5835, 112.621, 53.5104, 96.1759, 38.7152
0, 0.01300, 115.937, 32.5526, 113, 53.6332, 96.4648, 38.6891
0, 0.01400, 116.434, 32.6043, 113.344, 53.7415, 96.8428, 38.6299
0, 0.01500, 116.9, 32.7294, 113.679, 53.7818, 97.3206, 38.5897
0, 0.01600, 117.291, 32.8696, 114.069, 53.7446, 97.8594, 38.6278
0, 0.01700, 117.62, 32.9466, 114.564, 53.681, 98.3798, 38.7648
0, 0.01800, 117.961, 32.916, 115.155, 53.678, 98.8071, 38.9554
0, 0.01900, 118.401, 32.8083, 115.763, 53.8001, 99.1254, 39.1047
0, 0.02000, 118.976, 32.7232, 116.279, 54.0334, 99.4019, 39.1283
0, 0.02100, -47.5685, -493.818, -47.182, -489.726, -48.8161, -493.6
0, 0.02200, -41.0422, -479.324, -41.2452, -475.182, -42.6577, -479.623
0, 0.02300, -34.8342, -465.027, -35.7725, -461.388, -36.5698, -466.203
0, 0.02400, -29.0994, -451.04, -30.5211, -448.391, -30.4607, -452.942
0, 0.02500, -23.8912, -437.687, -25.2525, -436.012, -24.5119, -439.65
0, 0.02600, -19.0314, -425.213, -19.8373, -423.866, -18.9976, -426.435
0, 0.02700, -14.2025, -413.534, -14.4042, -411.607, -14.0736, -413.667
0, 0.02800, -9.14852, -402.263, -9.26496, -399.185, -9.66156, -401.753
0, 0.02900, -3.87987, -390.884, -4.73563, -386.935, -5.416, -390.83
0, 0.03000, 1.27578, -379.112, -0.88401, -375.411, -0.927211, -380.587
0, 0.03100, 5.84971, -367.157, 2.58879, -365.009, 3.97264, -370.386
0, 0.03200, 9.56615, -355.669, 6.2115, -355.616, 9.03589, -359.657
0, 0.03300, 12.6111, -345.34, 10.3947, -346.576, 13.6949, -348.341
0, 0.03400, 15.5998, -336.386, 15.0884, -337.041, 17.4158, -337.045
0, 0.03500, 19.2132, -328.26, 19.713, -326.567, 20.1322, -326.729
0, 0.03600, 23.6958, -319.877, 23.4816, -315.536, 22.4183, -318.058
0, 0.03700, 28.5589, -310.307, 25.9601, -305.052, 25.1951, -310.818
0, 0.03800, 32.7841, -299.505, 27.4928, -296.269, 29.1151, -303.866
0, 0.03900, 35.4866, -288.549, 29.1317, -289.524, 34.0017, -295.769
0, 0.04000, 36.6306, -279.084, 32.0003, -283.883, 38.7762, -285.815
0, 0.04100, 37.2694, -272.199, 36.4485, -277.533, 42.075, -274.718
0, 0.04200, 39.0066, -267.465, 41.5965, -268.955, 43.2433, -264.406
0, 0.04300, 42.8952, -262.898, 45.7138, -258.129, 43.0082, -256.846
0, 0.04400, 48.4924, -256.085, 47.3492, -246.904, 43.2615, -252.55
0, 0.04500, 53.8392, -245.906, 46.5218, -238.033, 45.8987, -249.841
0, 0.04600, 56.6, -233.693, 45.0701, -233.297, 51.3549, -245.597
0, 0.04700, 55.7722, -222.791, 45.6857, -231.916, 57.9092, -237.271
0, 0.04800, 52.7928, -216.498, 50.0514, -230.526, 62.4929, -224.96
0, 0.04900, 51.0347, -215.542, 57.2968, -225.115, 62.7209, -211.951
0, 0.05000, 53.6848, -216.918, 64.0434, -213.905, 58.8957, -202.988
0, 0.05100, 61.2464, -215.267, 66.3926, -199.231, 54.449, -201.008
0, 0.05200, 70.4919, -206.383, 62.8029, -186.75, 54.0704, -204.483
0, 0.05300, 76.0286, -190.681, 55.8625, -181.933, 60.4003, -207.501
0, 0.05400, 73.9216, -173.982, 51.3179, -185.863, 71.4988, -203.211
0, 0.05500, 65.0933, -164.24, 54.2959, -193.427, 81.3337, -188.878
0, 0.05600, 55.6771, -166.532, 65.7562, -195.572, 83.0207, -168.55
0, 0.05700, 53.9694, -177.78, 79.859, -185.259, 74.3511, -152.309
0, 0.05800, 64.2014, -187.573, 87.383, -163.406, 60.4707, -149.511
0, 0.05900, 82.4007, -184.227, 81.8346, -140.032, 51.7493, -161.646
0, 0.06000, 97.4189, -163.355, 65.1233, -128.83, 57.0964, -179.32
0, 0.06100, 97.7412, -132.956, 48.171, -137.64, 76.7477, -186.782
0, 0.06200, 80.2557, -110.314, 44.7356, -161.079, 99.9299, -172.374
0, 0.06300, 54.7292, -111.084, 61.5282, -181.456, 110.425, -138.381
0, 0.06400, 39.484, -136.988, 91.3024, -179.266, 97.705, -102.655
0, 0.06500, 49.42, -171.157, 114.968, -147.589, 66.4367, -88.7821
0, 0.06600, 83.6992, -186.487, 113.342, -100.39, 36.653, -109.521
0, 0.06700, 122.488, -163.801, 81.8791, -66.9373, 32.159, -154.492
0, 0.06800, 137.495, -108.366, 37.7902, -73.2369, 63.1526, -192.502
0, 0.06900, 111.621, -51.8049, 12.1997, -121.461, 114.997, -190.27
0, 0.07000, 54.8851, -34.3994, 29.6581, -182.555, 153.309, -137.271
0, 0.07100, 126.909, 581.549, 310.641, 414.032, 357.422, 585.739
0, 0.07200, 124.853, 455.304, 417.261, 440.217, 229.763, 645.635
0, 0.07300, 235.131, 340.691, 434.171, 550.157, 83.9729, 615.275
0, 0.07400, 396.236, 319.743, 319.026, 672.011, 19.0094, 484.712
0, 0.07500, 492.934, 424.586, 119.861, 705.813, 99.9656, 319.37
0, 0.07600, 430.044, 597.875, -37.968, 593.436, 297.159, 229.529
0, 0.07700, 210.091, 714.822, -28.2335, 374.449, 485.034, 295.645
0, 0.07800, -44.2371, 660.16, 179.345, 181.577, 512.638, 497.788
0, 0.07900, -152.247, 421.07, 470.883, 161.27, 313.425, 705.502
0, 0.08000, 1.13602, 124.419, 639.121, 363.35, -23.1914, 748.816
0, 0.08100, 359.408, -25.7867, 519.399, 677.443, -281.018, 539.903
0, 0.08200, 693.267, 111.099, 123.727, 877.962, -248.609, 161.181
0, 0.08300, 735.613, 490.08, -324.379, 765.286, 117.851, -151.582
0, 0.08400, 373.115, 865.408, -503.696, 327.037, 613.023, -155.246
0, 0.08500, -231.142, 928.701, -215.034, -200.551, 883.32, 214.931
0, 0.08600, -687, 525.142, 426.488, -452.595, 654.92, 748.453
0, 0.08700, -618.225, -180.483, 1003.12, -189.123, -34.6587, 1050.25
0, 0.08800, 43.2439, -748.373, 1044.58, 485.794, -792.834, 797.835
0, 0.08900, 917.504, -738.999, 369.378, 1122.92, -1075.4, -0.844027
0, 0.09000, 1367.54, -60.3124, -718.06, 1182.74, -557.206, -912.611
0, 0.09100, 923.257, 883.057, -1525.33, 402.288, 536.998, -1310.59
0, 0.09200, -338.47, 1377.11, -1385.9, -902.066, 1474.78, -828.973
0, 0.09300, -1710.92, 832.963, -211.062, -1928.19, 1474.46, 306.314
0, 0.09400, -2214.96, -705.395, 1295.9, -1916.05, 249.459, 1291.06
0, 0.09500, -1293.73, -2431.48, 1993.52, -746.686, -1637.8, 1214.81
0, 0.09600, 618.217, -3197.32, 1090.87, 822.318, -3003.04, -315.925
0, 0.09700, 2186.1, -2377.16, -1233.05, 1523.78, -2740.78, -2700.39
0, 0.09800, 2051.96, -457.08, -3739.65, 338.32, -747.099, -4524.98
0, 0.09900, -258.996, 1114.53, -4682.72, -2628.16, 1702.22, -4562.67
0, 0.10000, -3741.94, 695.961, -3141.27, -5900.9, 2683.24, -2731.42
0, 0.10100, -6280.69, -2405.45, 38.6345, -7485.43, 922.364, -392.391
0, 0.10200, -5956.2, -7060.32, 2520.72, -6361.36, -3221, 274.261
0, 0.10300, -2671.27, -10766.7, 1922.22, -3433.9, -7584.07, -2377.89
0, 0.10400, 1301.65, -11345.6, -2459.75, -1267.19, -9328.06, -8081.64
0, 0.10500, 2614.87, -8773.36, -8923.45, -2660.57, -6965.23, -14294.4
0, 0.10600, -824.576, -5418.74, -13834.1, -8852.21, -2049.99, -17746.7
0, 0.10700, -8444.35, -5022.27, -13952, -17890.3, 1570.54, -16949
0, 0.10800, -16560.6, -10456.7, -9243.32, -25648.4, 89.2128, -13404.1
