hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 0.00100, 276.103, 56.8622, 280.896, -62.4231, 274.3, 177.481, 482.129, 40.0972, 488.438, -86.366, 437.165, 156.127
0, 0.00200, 275.715, 56.7388, 280.863, -62.5795, 274.119, 177.357, 463.843, 40.0611, 470.743, -87.1841, 415.266, 155.585
0, 0.00300, 275.436, 56.6544, 280.823, -62.6871, 273.977, 177.272, 451.593, 40.1365, 458.902, -87.6967, 400.38, 155.28
0, 0.00400, 275.233, 56.5943, 280.781, -62.7644, 273.868, 177.211, 443.773, 40.2141, 451.353, -88.0425, 390.654, 155.085
0, 0.00500, 275.083, 56.5506, 280.743, -62.8199, 273.786, 177.166, 438.891, 40.2998, 446.554, -88.2727, 384.235, 154.984
0, 0.00600, 274.971, 56.5186, 280.709, -62.8601, 273.724, 177.133, 436.1, 40.3751, 443.627, -88.4218, 380.2, 154.954
0, 0.00700, 274.885, 56.4948, 280.682, -62.8896, 273.675, 177.109, 434.734, 40.4294, 441.972, -88.5057, 377.936, 154.972
0, 0.00800, 274.819, 56.4772, 280.659, -62.9117, 273.634, 177.089, 434.27, 40.4644, 441.234, -88.5322, 376.99, 155.011
0, 0.00900, 274.768, 56.4639, 280.64, -62.929, 273.598, 177.075, 434.342, 40.496, 441.227, -88.5113, 376.944, 155.048
0, 0.01000, 274.73, 56.4533, 280.621, -62.943, 273.567, 177.063, 434.795, 40.5395, 441.856, -88.4629, 377.445, 155.071
0, 0.01100, 274.701, 56.4443, 280.601, -62.9545, 273.54, 177.054, 435.613, 40.6034, 442.983, -88.412, 378.197, 155.088
0, 0.01200, 274.676, 56.4361, 280.58, -62.9636, 273.518, 177.047, 436.838, 40.6793, 444.392, -88.3777, 379.045, 155.12
0, 0.01300, 274.652, 56.4285, 280.559, -62.9708, 273.502, 177.04, 438.447, 40.7448, 445.833, -88.3611, 380.013, 155.186
0, 0.01400, 274.626, 56.4217, 280.542, -62.9764, 273.487, 177.034, 440.281, 40.7782, 447.132, -88.3442, 381.235, 155.287
0, 0.01500, 274.601, 56.4163, 280.53, -62.9815, 273.472, 177.027, 442.08, 40.7752, 448.294, -88.3004, 382.827, 155.398
0, 0.01600, 274.579, 56.4121, 280.521, -62.9869, 273.452, 177.021, 443.623, 40.7571, 449.509, -88.2147, 384.738, 155.48
0, 0.01700, 274.563, 56.4086, 280.51, -62.993, 273.428, 177.015, 444.879, 40.7604, 451.024, -88.0993, 386.726, 155.509
0, 0.01800, 274.552, 56.4046, 280.495, -62.9994, 273.405, 177.011, 446.061, 40.8133, 452.953, -87.9914, 388.468, 155.494
0, 0.01900, 274.544, 56.3995, 280.473, -63.0052, 273.387, 177.008, 447.514, 40.9117, 455.138, -87.9315, 389.777, 155.479
0, 0.02000, 274.531, 56.3933, 280.449, -63.0093, 273.377, 177.005, 449.472, 41.0149, 457.195, -87.9331, 390.764, 155.519
