hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 0.00100, -129.271, -69.3156, -121.061, -60.1144, -122.686, -74.4105, 0, 0
0, 0.00200, -130.717, -69.9551, -123.237, -59.7648, -124.43, -74.6206, 0, 0
0, 0.00300, -131.691, -70.4415, -124.677, -59.5469, -125.565, -74.8268, 0, 0
0, 0.00400, -132.345, -70.7757, -125.701, -59.4165, -126.366, -74.9612, 0, 0
0, 0.00500, -132.793, -71.0165, -126.416, -59.3333, -126.922, -75.063, 0, 0
0, 0.00600, -133.1, -71.1897, -126.912, -59.28, -127.306, -75.139, 0, 0
0, 0.00700, -133.306, -71.3145, -127.254, -59.2463, -127.568, -75.1955, 0, 0
0, 0.00800, -133.442, -71.4047, -127.486, -59.2259, -127.744, -75.2376, 0, 0
0, 0.00900, -133.527, -71.4711, -127.64, -59.2145, -127.859, -75.2702, 0, 0
0, 0.01000, -133.576, -71.5209, -127.738, -59.2096, -127.929, -75.296, 0, 0
0, 0.01100, -133.598, -71.5591, -127.794, -59.2094, -127.966, -75.3172, 0, 0
0, 0.01200, -133.601, -71.5895, -127.821, -59.2128, -127.98, -75.3355, 0, 0
0, 0.01300, -133.588, -71.6147, -127.825, -59.2189, -127.975, -75.3521, 0, 0
0, 0.01400, -133.563, -71.6366, -127.812, -59.2272, -127.956, -75.3677, 0, 0
0, 0.01500, -133.529, -71.6565, -127.786, -59.2374, -127.926, -75.383, 0, 0
0, 0.01600, -133.487, -71.6752, -127.749, -59.2492, -127.887, -75.3984, 0, 0
0, 0.01700, -133.439, -71.6935, -127.704, -59.2623, -127.841, -75.4142, 0, 0
0, 0.01800, -133.384, -71.7117, -127.652, -59.2768, -127.789, -75.4305, 0, 0
0, 0.01900, -133.325, -71.7302, -127.593, -59.2924, -127.731, -75.4475, 0, 0
0, 0.02000, -133.261, -71.7492, -127.529, -59.3091, -127.668, -75.4652, 0, 0
0, 0.02100, -74.4933, -186.082, -76.2217, -186.671, -76.9591, -185.578, 0, 0
0, 0.02200, -74.4694, -186.087, -76.1985, -186.677, -76.9356, -185.583, 0, 0
0, 0.02300, -74.4682, -186.087, -76.1973, -186.677, -76.9351, -185.583, 0, 0
0, 0.02400, -74.4839, -186.084, -76.2126, -186.673, -76.9499, -185.58, 0, 0
0, 0.02500, -74.5178, -186.076, -76.2458, -186.666, -76.9836, -185.572, 0, 0
0, 0.02600, -74.5694, -186.065, -76.2962, -186.654, -77.0358, -185.56, 0, 0
0, 0.02700, -74.6386, -186.049, -76.3639, -186.639, -77.104, -185.545, 0, 0
0, 0.02800, -74.7254, -186.03, -76.4488, -186.62, -77.1903, -185.525, 0, 0
0, 0.02900, -74.83, -186.006, -76.551, -186.596, -77.2953, -185.501, 0, 0
0, 0.03000, -74.9521, -185.979, -76.6705, -186.569, -77.4163, -185.473, 0, 0
0, 0.03100, -75.0917, -185.948, -76.807, -186.537, -77.5549, -185.441, 0, 0
0, 0.03200, -75.249, -185.912, -76.9606, -186.502, -77.7124, -185.405, 0, 0
0, 0.03300, -75.4235, -185.873, -77.1315, -186.463, -77.8858, -185.364, 0, 0
0, 0.03400, -75.6154, -185.83, -77.319, -186.42, -78.0763, -185.32, 0, 0
0, 0.03500, -75.8248, -185.782, -77.5235, -186.372, -78.2856, -185.272, 0, 0
0, 0.03600, -76.0511, -185.731, -77.7452, -186.321, -78.5109, -185.219, 0, 0
0, 0.03700, -76.2946, -185.675, -77.9832, -186.265, -78.7525, -185.163, 0, 0
0, 0.03800, -76.5553, -185.616, -78.2378, -186.206, -79.0128, -185.102, 0, 0
0, 0.03900, -76.8326, -185.552, -78.5093, -186.143, -79.2893, -185.037, 0, 0
0, 0.04000, -77.1269, -185.484, -78.797, -186.075, -79.5813, -184.968, 0, 0
0, 0.04100, -77.438, -185.412, -79.1008, -186.003, -79.8915, -184.895, 0, 0
0, 0.04200, -77.7654, -185.337, -79.4212, -185.928, -80.2182, -184.817, 0, 0
0, 0.04300, -78.1093, -185.257, -79.7577, -185.848, -80.5596, -184.736, 0, 0
0, 0.04400, -78.4698, -185.172, -80.1097, -185.764, -80.9187, -184.65, 0, 0
0, 0.04500, -78.8461, -185.084, -80.4777, -185.675, -81.2943, -184.559, 0, 0
0, 0.04600, -79.2385, -184.991, -80.8616, -185.583, -81.6841, -184.465, 0, 0
0, 0.04700, -79.647, -184.895, -81.2606, -185.487, -82.0905, -184.367, 0, 0
0, 0.04800, -80.0709, -184.794, -81.675, -185.386, -82.5137, -184.263, 0, 0
0, 0.04900, -80.5103, -184.688, -82.105, -185.281, -82.9506, -184.156, 0, 0
0, 0.05000, -80.9654, -184.579, -82.5497, -185.172, -83.4031, -184.045, 0, 0
0, 0.05100, -81.4355, -184.465, -83.009, -185.058, -83.8722, -183.929, 0, 0
0, 0.05200, -81.9204, -184.347, -83.4834, -184.941, -84.3547, -183.809, 0, 0
0, 0.05300, -82.4204, -184.225, -83.9721, -184.819, -84.8517, -183.684, 0, 0
0, 0.05400, -82.935, -184.098, -84.4748, -184.693, -85.3649, -183.555, 0, 0
0, 0.05500, -83.4638, -183.967, -84.9919, -184.562, -85.8914, -183.422, 0, 0
0, 0.05600, -84.0069, -183.832, -85.523, -184.427, -86.4312, -183.284, 0, 0
0, 0.05700, -84.5642, -183.692, -86.0672, -184.288, -86.9866, -183.142, 0, 0
0, 0.05800, -85.1349, -183.549, -86.6252, -184.145, -87.5552, -182.995, 0, 0
0, 0.05900, -85.7192, -183.4, -87.1966, -183.997, -88.136, -182.845, 0, 0
0, 0.06000, -86.3172, -183.247, -87.7807, -183.845, -88.7316, -182.689, 0, 0
0, 0.06100, -86.9279, -183.09, -88.3775, -183.689, -89.3401, -182.529, 0, 0
0, 0.06200, -87.5514, -182.929, -88.9873, -183.528, -89.9601, -182.365, 0, 0
0, 0.06300, -88.1878, -182.763, -89.609, -183.363, -90.5937, -182.196, 0, 0
0, 0.06400, -88.8364, -182.593, -90.2426, -183.193, -91.24, -182.023, 0, 0
0, 0.06500, -89.4969, -182.418, -90.8884, -183.019, -91.8969, -181.845, 0, 0
0, 0.06600, -90.1695, -182.239, -91.5457, -182.841, -92.5663, -181.663, 0, 0
0, 0.06700, -90.8537, -182.055, -92.2139, -182.659, -93.248, -181.477, 0, 0
0, 0.06800, -91.549, -181.867, -92.8935, -182.472, -93.9397, -181.286, 0, 0
0, 0.06900, -92.2554, -181.675, -93.584, -182.28, -94.6425, -181.091, 0, 0
