hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 0.00100, 284.177, 58.7413, 288.015, -60.6404, 282.583, 179.111, 0, 0, 516.165, -149.459, 469.297, 92.9523, 507.772, -32.126, 74.487, 58.694
0, 0.00200, 283.674, 58.593, 287.87, -60.8203, 282.231, 178.951, 0, 0, 522.639, -149.561, 475.783, 93.3082, 514.083, -32.0004, 75.1167, 55.9176
0, 0.00300, 283.32, 58.494, 287.756, -60.9415, 281.975, 178.843, 0, 0, 527.133, -149.648, 480.154, 93.529, 518.378, -31.9489, 75.9014, 54.0266
0, 0.00400, 283.065, 58.4249, 287.667, -61.027, 281.788, 178.767, 0, 0, 530.2, -149.712, 483.323, 93.6738, 521.409, -31.9098, 76.2583, 52.725
0, 0.00500, 282.882, 58.3767, 287.601, -61.0872, 281.653, 178.714, 0, 0, 532.342, -149.761, 485.558, 93.7697, 523.541, -31.8868, 76.5112, 51.8189
0, 0.00600, 282.753, 58.3429, 287.552, -61.1296, 281.557, 178.676, 0, 0, 533.83, -149.798, 487.125, 93.8333, 525.031, -31.8738, 76.6872, 51.1856
0, 0.00700, 282.661, 58.3192, 287.517, -61.1596, 281.488, 178.65, 0, 0, 534.856, -149.826, 488.214, 93.8749, 526.065, -31.8674, 76.8077, 50.7418
0, 0.00800, 282.596, 58.3025, 287.491, -61.1807, 281.439, 178.631, 0, 0, 535.552, -149.849, 488.961, 93.9012, 526.771, -31.8654, 76.8871, 50.4297
0, 0.00900, 282.55, 58.2907, 287.473, -61.1957, 281.405, 178.618, 0, 0, 536.017, -149.868, 489.461, 93.9169, 527.246, -31.867, 76.9428, 50.2108
0, 0.01000, 282.518, 58.2823, 287.46, -61.2064, 281.38, 178.609, 0, 0, 536.314, -149.884, 489.783, 93.9247, 527.552, -31.8713, 76.9799, 50.0566
0, 0.01100, 282.495, 58.2763, 287.45, -61.214, 281.363, 178.602, 0, 0, 536.491, -149.898, 489.978, 93.9268, 527.738, -31.8778, 77.0046, 49.9478
0, 0.01200, 282.478, 58.2719, 287.443, -61.2196, 281.351, 178.597, 0, 0, 536.581, -149.913, 490.078, 93.9246, 527.835, -31.8861, 77.021, 49.8711
0, 0.01300, 282.466, 58.2687, 287.438, -61.2236, 281.342, 178.594, 0, 0, 536.605, -149.926, 490.109, 93.919, 527.866, -31.8962, 77.0318, 49.8169
0, 0.01400, 282.458, 58.2663, 287.435, -61.2266, 281.335, 178.591, 0, 0, 536.581, -149.941, 490.086, 93.9107, 527.849, -31.9078, 77.0391, 49.7786
