hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 0.00100, -66.7327, -0.164237, -66.1033, -0.17374, -67.1456, -0.17505
0, 0.00200, 18.4203, 0.0773725, 20.6227, 0.0896757, 17.3016, 0.0734582
0, 0.00300, 74.7964, 0.218412, 78.4498, 0.237396, 73.3221, 0.216653
0, 0.00400, 114.085, 0.239677, 118.938, 0.259358, 112.413, 0.239266
0, 0.00500, 141.452, 0.212284, 147.25, 0.229468, 139.672, 0.212394
0, 0.00600, 160.564, 0.171286, 167.084, 0.18529, 158.725, 0.171647
0, 0.00700, 173.934, 0.131394, 180.997, 0.142387, 172.064, 0.131849
0, 0.00800, 183.298, 0.097794, 190.765, 0.106222, 181.413, 0.0982559
0, 0.00900, 189.862, 0.0697696, 197.626, 0.0773317, 187.971, 0.0708788
0, 0.01000, 194.467, 0.0503123, 202.449, 0.055918, 192.574, 0.0511736
0, 0.01100, 197.701, 0.0358887, 205.838, 0.0401181, 195.806, 0.036629
0, 0.01200, 199.973, 0.0255225, 208.22, 0.028538, 198.076, 0.0261587
0, 0.01300, 201.568, 0.0181074, 209.895, 0.0202639, 199.672, 0.0185277
0, 0.01400, 202.689, 0.0127954, 211.072, 0.0143468, 200.794, 0.0131075
0, 0.01500, 203.476, 0.00902516, 211.901, 0.0101384, 201.582, 0.00925457
0, 0.01600, 204.03, 0.00635738, 212.483, 0.00715504, 202.137, 0.00652567
0, 0.01700, 204.418, 0.00447405, 212.893, 0.00504489, 202.526, 0.00459721
0, 0.01800, 204.692, 0.00314662, 213.182, 0.00355474, 202.8, 0.00323656
0, 0.01900, 204.883, 0.00221203, 213.384, 0.0025036, 202.993, 0.00227761
0, 0.02000, 205.018, 0.00155454, 213.527, 0.0017627, 203.128, 0.00160228
0, 0.02100, 94.3403, 0.523675, 93.5128, 0.689164, 93.7628, 0.567229
0, 0.02200, 78.916, -0.197061, 77.4954, -0.217789, 78.4869, -0.199635
0, 0.02300, 70.4208, -0.0945519, 68.6359, -0.103954, 70.0584, -0.0959498
0, 0.02400, 64.2738, -0.061299, 62.2241, -0.0669104, 63.9606, -0.0621379
0, 0.02500, 59.9343, -0.0398703, 57.6956, -0.0432785, 59.6558, -0.0405521
0, 0.02600, 56.869, -0.0263608, 54.4956, -0.0284998, 56.6152, -0.026817
0, 0.02700, 54.7057, -0.0177814, 52.2364, -0.019161, 54.4693, -0.0179979
0, 0.02800, 53.1797, -0.0121436, 50.6423, -0.0130486, 52.9555, -0.0123755
0, 0.02900, 52.1037, -0.00837814, 49.5179, -0.00898817, 51.8882, -0.00855767
0, 0.03000, 51.3452, -0.00578557, 48.725, -0.00621212, 51.1358, -0.00581956
0, 0.03100, 50.8106, -0.00403794, 48.166, -0.00431259, 50.6054, -0.00412001
0, 0.03200, 50.4339, -0.0028383, 47.7719, -0.00303571, 50.2317, -0.00293765
0, 0.03300, 50.1684, -0.00195922, 47.4942, -0.00211694, 49.9684, -0.00194069
0, 0.03400, 49.9814, -0.00138899, 47.2984, -0.00146798, 49.7828, -0.00140152
0, 0.03500, 49.8496, -0.000989308, 47.1604, -0.00105423, 49.652, -0.00106918
0, 0.03600, 49.7568, -0.000665753, 47.0632, -0.000740592, 49.56, -0.000640498
0, 0.03700, 49.6913, -0.000487326, 46.9947, -0.000498816, 49.495, -0.000457945
0, 0.03800, 49.6452, -0.000351948, 46.9463, -0.00036773, 49.4492, -0.000428877
0, 0.03900, 49.6128, -0.00021939, 46.9123, -0.000269913, 49.4171, -0.000205679
0, 0.04000, 49.5899, -0.000175032, 46.8883, -0.000165374, 49.3944, -0.000116764
0, 0.04100, 49.5738, -0.000130354, 46.8714, -0.000122284, 49.3783, -0.000202998
0, 0.04200, 49.5625, -6.47441E-005, 46.8595, -0.000108133, 49.3672, -7.17293E-005
0, 0.04300, 49.5544, -6.40779E-005, 46.8511, -5.43895E-005, 49.3592, 1.24114E-005
0, 0.04400, 49.5488, -5.48864E-005, 46.8452, -3.17729E-005, 49.3535, -0.000113699
0, 0.04500, 49.5449, -1.18439E-005, 46.841, -4.84678E-005, 49.3497, -4.42474E-005
0, 0.04600, 49.542, -2.14779E-005, 46.8381, -2.28235E-005, 49.3469, 6.18035E-005
0, 0.04700, 49.5401, -3.1141E-005, 46.836, 1.0512E-006, 49.3449, -6.52702E-005
0, 0.04800, 49.5387, 4.59407E-006, 46.8345, -2.00842E-005, 49.3435, -5.30973E-005
0, 0.04900, 49.5377, -2.01207E-006, 46.8335, -1.85377E-005, 49.3427, 7.66245E-005
0, 0.05000, 49.537, -2.44813E-005, 46.8328, 1.03094E-005, 49.3418, -2.77883E-005
0, 0.05100, 49.5365, 6.80237E-006, 46.8323, -2.20226E-006, 49.3414, -7.02085E-005
0, 0.05200, 49.5362, 8.78417E-006, 46.8319, -2.046E-005, 49.3411, 7.30087E-005
0, 0.05300, 49.5359, -2.11278E-005, 46.8317, 8.72153E-006, 49.3408, 5.06476E-006
0, 0.05400, 49.5358, 2.48635E-006, 46.8315, 9.45542E-006, 49.3406, -8.26298E-005
0, 0.05500, 49.5357, 1.49034E-005, 46.8314, -1.94906E-005, 49.3406, 5.76363E-005
0, 0.05600, 49.5356, -1.56425E-005, 46.8313, 1.68406E-006, 49.3405, 3.2725E-005
0, 0.05700, 49.5355, -5.03739E-006, 46.8312, 1.55813E-005, 49.3403, -8.48538E-005
0, 0.05800, 49.5355, 1.72342E-005, 46.8312, -1.3122E-005, 49.3404, 3.46909E-005
0, 0.05900, 49.5354, -7.18021E-006, 46.8311, -7.47045E-006, 49.3404, 5.36753E-005
0, 0.06000, 49.5354, -1.31373E-005, 46.8311, 1.67313E-005, 49.3402, -7.66381E-005
0, 0.06100, 49.5354, 1.59623E-005, 46.8311, -3.1971E-006, 49.3403, 8.41668E-006
0, 0.06200, 49.5354, 2.44977E-006, 46.8311, -1.55104E-005, 49.3403, 6.68306E-005
0, 0.06300, 49.5354, -1.88473E-005, 46.8311, 1.36079E-005, 49.3402, -6.09221E-005
0, 0.06400, 49.5354, 1.1237E-005, 46.8311, 6.757E-006, 49.3403, -1.65012E-005
0, 0.06500, 49.5354, 1.07952E-005, 46.8311, -1.92628E-005, 49.3403, 7.17031E-005
0, 0.06600, 49.5354, -1.95495E-005, 46.8311, 7.01663E-006, 49.3402, -4.13742E-005
0, 0.06700, 49.5354, 3.52977E-006, 46.8311, 1.395E-005, 49.3402, -3.60609E-005
0, 0.06800, 49.5354, 1.61561E-005, 46.8311, -1.68917E-005, 49.3403, 6.86121E-005
0, 0.06900, 49.5354, -1.44715E-005, 46.8311, -1.85157E-006, 49.3402, -2.09456E-005
0, 0.07000, 49.5354, -5.90362E-006, 46.8311, 1.71559E-005, 49.3402, -4.84564E-005
0, 0.07100, 118.394, -0.956818, 118.069, -0.641832, 117.139, 0.105099
0, 0.07200, 149.608, 0.297292, 151.565, 0.317822, 147.77, 0.368324
0, 0.07300, 166.289, 0.174451, 169.844, 0.200226, 164.01, 0.225846
0, 0.07400, 178.231, 0.13517, 182.903, 0.15654, 175.6, 0.175093
0, 0.07500, 186.568, 0.0997307, 192.04, 0.11663, 183.695, 0.12843
0, 0.07600, 192.404, 0.07258, 198.448, 0.0850364, 189.361, 0.0935978
0, 0.07700, 196.491, 0.0507489, 202.946, 0.060341, 193.329, 0.0670395
0, 0.07800, 199.352, 0.0363193, 206.103, 0.0431368, 196.111, 0.0478118
0, 0.07900, 201.354, 0.0258908, 208.322, 0.0306853, 198.064, 0.0338466
0, 0.08000, 202.754, 0.0184256, 209.882, 0.0217588, 199.437, 0.0238005
0, 0.08100, 203.731, 0.0131122, 210.98, 0.0154024, 200.404, 0.016622
0, 0.08200, 204.411, 0.00934484, 211.753, 0.0108969, 201.087, 0.0115168
0, 0.08300, 204.884, 0.00668012, 212.297, 0.00771339, 201.571, 0.00789895
0, 0.08400, 205.211, 0.00479802, 212.682, 0.00546889, 201.916, 0.00534215
0, 0.08500, 205.435, 0.00346955, 212.955, 0.00388872, 202.162, 0.00353957
0, 0.08600, 205.588, 0.00253183, 213.148, 0.00277728, 202.34, 0.00227171
0, 0.08700, 205.69, 0.00186951, 213.286, 0.00199594, 202.47, 0.00138226
0, 0.08800, 205.757, 0.0014011, 213.385, 0.00144672, 202.567, 0.000760248
0, 0.08900, 205.8, 0.00106916, 213.456, 0.00106059, 202.639, 0.000327054
0, 0.09000, 205.826, 0.000833229, 213.508, 0.000788958, 202.695, 2.70557E-005
0, 0.09100, 205.839, 0.000664858, 213.546, 0.000597662, 202.739, -0.000179058
0, 0.09200, 205.844, 0.000544041, 213.575, 0.000462718, 202.774, -0.000319054
0, 0.09300, 205.844, 0.000456713, 213.597, 0.00036729, 202.803, -0.000412536
0, 0.09400, 205.84, 0.000392996, 213.614, 0.000299567, 202.828, -0.000473337
0, 0.09500, 205.833, 0.000345943, 213.628, 0.000251269, 202.85, -0.00051122
0, 0.09600, 205.824, 0.000310676, 213.639, 0.00021659, 202.87, -0.000533069
0, 0.09700, 205.814, 0.000283764, 213.648, 0.000191461, 202.888, -0.000543741
0, 0.09800, 205.804, 0.000262796, 213.657, 0.000173031, 202.904, -0.000546659
0, 0.09900, 205.793, 0.000246074, 213.664, 0.000159305, 202.92, -0.000544235
0, 0.10000, 205.781, 0.000232405, 213.671, 0.000148884, 202.934, -0.00053817
0, 0.10100, 205.77, 0.000220947, 213.677, 0.000140787, 202.948, -0.000529657
0, 0.10200, 205.759, 0.000211106, 213.682, 0.000134331, 202.962, -0.000519539
0, 0.10300, 205.748, 0.000202463, 213.688, 0.000129035, 202.975, -0.000508405
0, 0.10400, 205.737, 0.000194721, 213.693, 0.000124563, 202.987, -0.000496667
0, 0.10500, 205.727, 0.000187669, 213.698, 0.000120681, 202.999, -0.000484615
0, 0.10600, 205.716, 0.000181157, 213.703, 0.000117224, 203.011, -0.000472448
0, 0.10700, 205.706, 0.000175077, 213.707, 0.000114076, 203.022, -0.000460304
0, 0.10800, 205.696, 0.000169351, 213.712, 0.000111159, 203.033, -0.000448278
0, 0.10900, 205.686, 0.000163922, 213.716, 0.000108415, 203.044, -0.000436433
