hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 0.00100, 281.173, 58.4875, 284.276, -60.8847, 279.359, 178.996, 237.338, -121.654, 232.533, 118.965, 240.356, -1.15353
0, 0.00200, 278.381, 57.5265, 282.184, -61.9142, 276.778, 177.995, 66.17, 57.2858, 73.0832, -62.1634, 62.5114, 177.752
0, 0.00300, 276.453, 56.8795, 280.714, -62.6098, 274.984, 177.32, 270.558, 56.7122, 279.466, -62.7832, 266.643, 177.151
0, 0.00400, 275.075, 56.4223, 279.653, -63.1021, 273.695, 176.842, 414.742, 56.3019, 425.307, -63.227, 410.725, 176.72
0, 0.00500, 274.098, 56.1014, 278.893, -63.4488, 272.781, 176.506, 516.063, 56.0154, 527.98, -63.5381, 512.031, 176.419
0, 0.00600, 273.407, 55.8758, 278.352, -63.6931, 272.133, 176.269, 587.271, 55.8147, 600.264, -63.7566, 583.264, 176.207
0, 0.00700, 272.919, 55.7174, 277.968, -63.8652, 271.676, 176.103, 637.308, 55.6741, 651.145, -63.9102, 633.345, 176.059
0, 0.00800, 272.576, 55.6061, 277.696, -63.9863, 271.353, 175.986, 672.465, 55.5755, 686.956, -64.0182, 668.55, 175.954
0, 0.00900, 272.334, 55.5279, 277.503, -64.0716, 271.126, 175.903, 697.167, 55.5069, 712.159, -64.0941, 693.298, 175.882
0, 0.01000, 272.164, 55.4731, 277.367, -64.1317, 270.966, 175.845, 714.521, 55.4583, 729.894, -64.1475, 710.693, 175.83
0, 0.01100, 272.047, 55.4351, 277.27, -64.1739, 270.854, 175.804, 726.715, 55.4247, 742.373, -64.185, 722.92, 175.793
0, 0.01200, 271.966, 55.4087, 277.2, -64.2035, 270.776, 175.775, 735.285, 55.4014, 751.153, -64.2114, 731.514, 175.768
0, 0.01300, 271.909, 55.3902, 277.151, -64.2245, 270.722, 175.755, 741.307, 55.3851, 757.329, -64.23, 737.555, 175.75
0, 0.01400, 271.869, 55.3772, 277.116, -64.2392, 270.684, 175.741, 745.539, 55.3736, 761.674, -64.2431, 741.803, 175.737
0, 0.01500, 271.841, 55.3681, 277.092, -64.2496, 270.657, 175.731, 748.513, 55.3656, 764.731, -64.2523, 744.789, 175.728
0, 0.01600, 271.821, 55.3617, 277.075, -64.2569, 270.639, 175.724, 750.603, 55.3599, 766.881, -64.2588, 746.888, 175.722
0, 0.01700, 271.807, 55.3572, 277.063, -64.262, 270.625, 175.719, 752.072, 55.356, 768.393, -64.2634, 748.364, 175.718
0, 0.01800, 271.797, 55.3541, 277.054, -64.2656, 270.616, 175.715, 753.104, 55.3532, 769.458, -64.2666, 749.401, 175.715
0, 0.01900, 271.79, 55.3518, 277.048, -64.2682, 270.61, 175.713, 753.829, 55.3512, 770.206, -64.2689, 750.131, 175.712
0, 0.02000, 271.785, 55.3503, 277.044, -64.27, 270.605, 175.711, 754.339, 55.3499, 770.733, -64.2705, 750.643, 175.711
0, 0.02100, 139.491, 57.1132, 135.981, -63.7052, 139.261, 176.644, 676.327, 56.7952, 687.707, -64.1275, 673.298, 176.297
0, 0.02200, 140.345, 57.6185, 136.87, -63.1353, 140.116, 177.161, 562.3, 57.7616, 566.199, -62.9743, 560.16, 177.307
0, 0.02300, 140.768, 57.9026, 137.297, -62.813, 140.533, 177.452, 500.263, 57.9795, 499.907, -62.7262, 498.518, 177.53
0, 0.02400, 141.073, 58.1064, 137.606, -62.5817, 140.835, 177.661, 455.608, 58.161, 452.191, -62.5201, 454.153, 177.716
0, 0.02500, 141.286, 58.2496, 137.821, -62.4191, 141.046, 177.807, 424.205, 58.2877, 418.626, -62.3762, 422.954, 177.846
0, 0.02600, 141.436, 58.3505, 137.973, -62.3046, 141.194, 177.91, 402.083, 58.377, 394.973, -62.2746, 400.974, 177.937
0, 0.02700, 141.542, 58.4215, 138.079, -62.2239, 141.299, 177.983, 386.499, 58.4401, 378.307, -62.2029, 385.491, 178.002
0, 0.02800, 141.616, 58.4715, 138.154, -62.167, 141.371, 178.034, 375.521, 58.4846, 366.563, -62.1523, 374.584, 178.048
0, 0.02900, 141.668, 58.5067, 138.207, -62.127, 141.423, 178.07, 367.787, 58.516, 358.288, -62.1166, 366.9, 178.08
0, 0.03000, 141.705, 58.5316, 138.244, -62.0988, 141.46, 178.096, 362.339, 58.538, 352.456, -62.0915, 361.487, 178.102
0, 0.03100, 141.731, 58.5491, 138.27, -62.0789, 141.485, 178.114, 358.501, 58.5536, 348.347, -62.0737, 357.673, 178.118
0, 0.03200, 141.749, 58.5614, 138.289, -62.0649, 141.503, 178.126, 355.797, 58.5646, 345.451, -62.0612, 354.987, 178.129
0, 0.03300, 141.762, 58.57, 138.302, -62.055, 141.516, 178.135, 353.892, 58.5723, 343.41, -62.0525, 353.094, 178.137
0, 0.03400, 141.771, 58.5762, 138.311, -62.048, 141.525, 178.141, 352.551, 58.5778, 341.972, -62.0462, 351.761, 178.143
0, 0.03500, 141.777, 58.5804, 138.317, -62.0431, 141.531, 178.146, 351.605, 58.5816, 340.958, -62.0418, 350.821, 178.147
0, 0.03600, 141.782, 58.5835, 138.322, -62.0397, 141.536, 178.149, 350.939, 58.5843, 340.244, -62.0388, 350.159, 178.149
0, 0.03700, 141.785, 58.5857, 138.325, -62.0372, 141.539, 178.151, 350.47, 58.5862, 339.741, -62.0366, 349.693, 178.152
0, 0.03800, 141.787, 58.5871, 138.327, -62.0355, 141.541, 178.152, 350.139, 58.5875, 339.386, -62.035, 349.364, 178.153
0, 0.03900, 141.789, 58.5882, 138.329, -62.0343, 141.542, 178.153, 349.906, 58.5885, 339.136, -62.034, 349.133, 178.154
0, 0.04000, 141.79, 58.589, 138.33, -62.0335, 141.543, 178.154, 349.742, 58.5892, 338.96, -62.0333, 348.97, 178.154
0, 0.04100, 141.791, 58.5895, 138.331, -62.0328, 141.544, 178.155, 349.627, 58.5896, 338.836, -62.0327, 348.855, 178.155
0, 0.04200, 141.791, 58.5899, 138.331, -62.0324, 141.545, 178.155, 349.545, 58.5899, 338.748, -62.0323, 348.774, 178.155
0, 0.04300, 141.791, 58.5901, 138.332, -62.0321, 141.545, 178.156, 349.488, 58.5902, 338.687, -62.0321, 348.717, 178.156
0, 0.04400, 141.792, 58.5903, 138.332, -62.0319, 141.545, 178.156, 349.448, 58.5903, 338.643, -62.0319, 348.677, 178.156
0, 0.04500, 141.792, 58.5904, 138.332, -62.0318, 141.546, 178.156, 349.419, 58.5904, 338.613, -62.0317, 348.649, 178.156
0, 0.04600, 141.792, 58.5905, 138.332, -62.0317, 141.546, 178.156, 349.399, 58.5906, 338.591, -62.0317, 348.629, 178.156
0, 0.04700, 141.792, 58.5906, 138.332, -62.0316, 141.546, 178.156, 349.385, 58.5906, 338.576, -62.0316, 348.615, 178.156
0, 0.04800, 141.792, 58.5906, 138.332, -62.0315, 141.546, 178.156, 349.375, 58.5906, 338.565, -62.0315, 348.605, 178.156
0, 0.04900, 141.792, 58.5907, 138.333, -62.0315, 141.546, 178.156, 349.368, 58.5907, 338.558, -62.0315, 348.598, 178.156
0, 0.05000, 141.792, 58.5907, 138.333, -62.0315, 141.546, 178.156, 349.363, 58.5907, 338.552, -62.0315, 348.593, 178.156
0, 0.05100, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.36, 58.5907, 338.549, -62.0314, 348.589, 178.156
0, 0.05200, 141.792, 58.5907, 138.333, -62.0315, 141.546, 178.156, 349.357, 58.5907, 338.546, -62.0314, 348.587, 178.156
0, 0.05300, 141.792, 58.5907, 138.333, -62.0315, 141.546, 178.156, 349.355, 58.5907, 338.544, -62.0315, 348.585, 178.156
0, 0.05400, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.354, 58.5907, 338.543, -62.0314, 348.584, 178.156
0, 0.05500, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.353, 58.5907, 338.542, -62.0314, 348.583, 178.156
0, 0.05600, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.353, 58.5907, 338.541, -62.0314, 348.583, 178.156
0, 0.05700, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.352, 58.5907, 338.541, -62.0314, 348.582, 178.156
0, 0.05800, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.352, 58.5907, 338.54, -62.0314, 348.582, 178.156
0, 0.05900, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.352, 58.5907, 338.54, -62.0314, 348.582, 178.156
0, 0.06000, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.352, 58.5907, 338.54, -62.0314, 348.582, 178.156
0, 0.06100, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.352, 58.5907, 338.54, -62.0314, 348.581, 178.156
0, 0.06200, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.352, 58.5907, 338.54, -62.0314, 348.581, 178.156
0, 0.06300, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.351, 58.5907, 338.54, -62.0314, 348.581, 178.156
0, 0.06400, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.351, 58.5907, 338.54, -62.0314, 348.581, 178.156
0, 0.06500, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.351, 58.5907, 338.54, -62.0314, 348.581, 178.156
0, 0.06600, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.351, 58.5907, 338.54, -62.0314, 348.581, 178.156
0, 0.06700, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.351, 58.5907, 338.54, -62.0314, 348.581, 178.156
0, 0.06800, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.351, 58.5907, 338.54, -62.0314, 348.581, 178.156
0, 0.06900, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.351, 58.5907, 338.54, -62.0314, 348.581, 178.156
0, 0.07000, 141.792, 58.5907, 138.333, -62.0314, 141.546, 178.156, 349.351, 58.5907, 338.54, -62.0314, 348.581, 178.156
0, 0.07100, 275.799, 56.5234, 280.059, -62.8309, 273.934, 176.975, 429.291, 56.9864, 421.593, -62.5194, 427.616, 176.924
0, 0.07200, 274.461, 56.1079, 278.967, -63.3084, 272.62, 176.482, 545.097, 55.994, 543.309, -63.4286, 542.037, 176.339
0, 0.07300, 273.838, 55.883, 278.351, -63.5652, 271.854, 176.185, 607.255, 55.8228, 610.179, -63.6327, 603.303, 176.106
