hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 0.00100, 128.09, 7.41586, 146.147, 60.3684, 97.4256, 41.4942
0, 0.00200, 128.089, 7.41272, 146.147, 60.3683, 97.4227, 41.4934
0, 0.00300, 128.091, 7.41221, 146.147, 60.3708, 97.4216, 41.4932
0, 0.00400, 128.093, 7.41325, 146.146, 60.3729, 97.4217, 41.4919
0, 0.00500, 128.094, 7.4158, 146.144, 60.3732, 97.4234, 41.4907
0, 0.00600, 128.094, 7.4187, 146.143, 60.3717, 97.4261, 41.4909
0, 0.00700, 128.091, 7.42024, 146.145, 60.3694, 97.4282, 41.4931
0, 0.00800, 128.089, 7.41929, 146.148, 60.3684, 97.4283, 41.4966
0, 0.00900, 128.089, 7.41635, 146.152, 60.3702, 97.426, 41.4993
0, 0.01000, 128.092, 7.41354, 146.153, 60.3746, 97.4228, 41.4994
0, 0.01100, 128.097, 7.41343, 146.151, 60.3794, 97.4211, 41.4966
0, 0.01200, 128.1, 7.41716, 146.146, 60.3814, 97.4228, 41.4926
0, 0.01300, 128.1, 7.42324, 146.142, 60.3788, 97.4279, 41.4905
0, 0.01400, 128.096, 7.42798, 146.142, 60.3729, 97.4334, 41.4928
0, 0.01500, 128.09, 7.42777, 146.148, 60.3676, 97.4355, 41.4992
0, 0.01600, 128.086, 7.42186, 146.156, 60.3678, 97.432, 41.5062
0, 0.01700, 128.089, 7.41367, 146.162, 60.3749, 97.4244, 41.5089
0, 0.01800, 128.098, 7.40921, 146.16, 60.3857, 97.4176, 41.5046
0, 0.01900, 128.108, 7.41319, 146.151, 60.3934, 97.4173, 41.495
0, 0.02000, 128.112, 7.42504, 146.139, 60.3915, 97.4256, 41.4865
0, 0.02100, -125.13, -221.669, -117.869, -221.145, -117.452, -221.628
0, 0.02200, -119.064, -210.949, -111.903, -209.962, -111.689, -210.766
0, 0.02300, -113.221, -200.598, -106.244, -199.353, -106.374, -200.731
0, 0.02400, -107.511, -190.469, -100.983, -189.491, -101.353, -191.247
0, 0.02500, -102.009, -180.701, -96.1589, -180.438, -96.4761, -182.032
0, 0.02600, -96.856, -171.554, -91.6886, -172.037, -91.6476, -172.912
0, 0.02700, -92.1555, -163.226, -87.3969, -163.962, -86.8986, -163.952
0, 0.02800, -87.885, -155.68, -83.1172, -155.915, -82.3792, -155.433
0, 0.02900, -83.8779, -148.608, -78.8061, -147.826, -78.2632, -147.676
0, 0.03000, -79.9096, -141.596, -74.5895, -139.932, -74.6187, -140.802
0, 0.03100, -75.842, -134.382, -70.6951, -132.65, -71.3309, -134.589
0, 0.03200, -71.7314, -127.067, -67.2989, -126.293, -68.1451, -128.56
0, 0.03300, -67.8171, -120.095, -64.3815, -120.81, -64.8179, -122.266
0, 0.03400, -64.3744, -113.978, -61.6989, -115.745, -61.2895, -115.605
0, 0.03500, -61.5154, -108.932, -58.9123, -110.481, -57.7547, -108.948
0, 0.03600, -59.0717, -104.653, -55.8093, -104.643, -54.563, -102.949
0, 0.03700, -56.6583, -100.427, -52.4758, -98.4078, -51.9888, -98.1085
0, 0.03800, -53.9065, -95.5666, -49.2837, -92.4652, -50.0133, -94.3786
0, 0.03900, -50.7284, -89.8986, -46.6692, -87.6049, -48.2796, -91.0833
0, 0.04000, -47.4271, -83.9782, -44.825, -84.1553, -46.2829, -87.2836
0, 0.04100, -44.5449, -78.8124, -43.5114, -81.6526, -43.7039, -82.3988
0, 0.04200, -42.5111, -75.2074, -42.1453, -79.0215, -40.6695, -76.6841
0, 0.04300, -41.3065, -73.1423, -40.1542, -75.2317, -37.7392, -71.1927
0, 0.04400, -40.3909, -71.6242, -37.3876, -70.0427, -35.5769, -67.1552
0, 0.04500, -38.9927, -69.2188, -34.3001, -64.3161, -34.4872, -65.1165
0, 0.04600, -36.6199, -64.9979, -31.7307, -59.5904, -34.1262, -64.4108
0, 0.04700, -33.463, -59.2961, -30.3656, -57.0896, -33.6266, -63.4121
0, 0.04800, -30.3798, -53.6959, -30.2116, -56.7767, -32.1242, -60.5247
0, 0.04900, -28.3968, -50.1113, -30.4638, -57.1435, -29.3787, -55.334
0, 0.05000, -27.997, -49.4636, -29.9335, -56.0215, -26.0589, -49.1174
0, 0.05100, -28.6966, -50.8204, -27.8238, -52.0394, -23.4076, -44.2205
0, 0.05200, -29.1191, -51.776, -24.3847, -45.6779, -22.5333, -42.5808
0, 0.05300, -27.9426, -49.8124, -20.9405, -39.3636, -23.4419, -44.2481
0, 0.05400, -24.7913, -44.1643, -19.0973, -36.0126, -24.9347, -46.9843
0, 0.05500, -20.6917, -36.6662, -19.6513, -37.0327, -25.2199, -47.4604
0, 0.05600, -17.59, -30.9077, -21.8662, -41.0316, -23.092, -43.4492
0, 0.05700, -17.1188, -29.9709, -23.7214, -44.3038, -18.9052, -35.6274
0, 0.05800, -19.3655, -34.1203, -23.129, -43.07, -14.6047, -27.6203
0, 0.05900, -22.5258, -40.0964, -19.4232, -36.1808, -12.6187, -23.9354
0, 0.06000, -23.8546, -42.8137, -14.1001, -26.4249, -14.2025, -26.8853
0, 0.06100, -21.4677, -38.683, -10.1389, -19.2486, -18.3224, -34.526
0, 0.06200, -15.8546, -28.4665, -10.1351, -19.3331, -21.9814, -41.2778
0, 0.06300, -9.96345, -17.532, -14.369, -27.0976, -22.016, -41.2728
0, 0.06400, -7.53749, -12.8483, -20.1852, -37.6267, -17.3409, -32.5217
0, 0.06500, -10.5778, -18.2859, -23.3677, -43.2322, -10.1136, -19.0606
0, 0.06600, -17.5957, -31.2864, -20.8879, -38.4764, -4.78577, -9.16936
0, 0.06700, -24.0511, -43.539, -13.3042, -24.5004, -5.33738, -10.2238
0, 0.06800, -25.0638, -45.9126, -5.02945, -9.4307, -12.3467, -23.261
0, 0.06900, -18.8658, -34.8813, -1.88425, -3.85346, -21.9694, -41.1057
0, 0.07000, -8.65427, -16.1101, -7.20015, -13.7094, -27.9068, -52.049
0, 0.07100, 133.299, 533.596, 97.2475, 436.731, 355.459, 359.268
0, 0.07200, 16.3746, 523.568, 229.279, 347.164, 329.966, 431.864
0, 0.07300, 2.13512, 424.964, 374.768, 322.825, 191.059, 525.111
0, 0.07400, 119.218, 287.032, 418.758, 393.482, 6.43396, 561.893
0, 0.07500, 312.891, 208.631, 299.152, 526.145, -103.093, 486.354
0, 0.07600, 451.176, 250.427, 59.2922, 632.869, -41.2507, 327.765
0, 0.07700, 403.838, 398.634, -158.785, 603.634, 187.711, 180.863
0, 0.07800, 159.322, 565.065, -186.148, 405.561, 451.533, 147.937
0, 0.07900, -163.618, 616.066, 35.8339, 168.667, 537.059, 278.217
0, 0.08000, -337.558, 446.876, 394.39, 26.6736, 329.428, 490.092
0, 0.08100, -207.521, 117.965, 656.644, 110.009, -79.9053, 649.193
0, 0.08200, 191.363, -141.295, 562.282, 384.201, -472.047, 578.587
0, 0.08300, 636.269, -173.618, 103.312, 675.643, -539.269, 221.722
0, 0.08400, 762.563, 91.1989, -514.756, 746.987, -175.759, -197.843
0, 0.08500, 370.88, 469.084, -850.902, 385.7, 442.961, -453.575
0, 0.08600, -381.759, 720.181, -618.263, -233.994, 918.874, -309.206
0, 0.08700, -1074.96, 480.284, 117.303, -764.052, 731.816, 147.107
0, 0.08800, -1141.59, -277.039, 919.523, -851.428, -70.1182, 581.733
0, 0.08900, -479.383, -1096.1, 1128.71, -365.324, -1198.43, 624.576
0, 0.09000, 557.153, -1555.04, 340.161, 284.183, -1829.68, -113.81
0, 0.09100, 1348.04, -1275.5, -1134.98, 676.312, -1489.78, -1285.83
0, 0.09200, 879.011, -491.768, -2495.98, 76.838, -260.006, -2320.89
0, 0.09300, -644.797, 138.469, -2687.81, -1481.78, 1104.23, -2584.92
0, 0.09400, -2811.4, -67.2082, -1505.37, -3220.39, 1380.91, -1860.64
0, 0.09500, -3869.03, -1791.79, 247.844, -4253.5, -164.382, -958.57
0, 0.09600, -3241.1, -4250.92, 1632.78, -3928.91, -2878.6, -572.071
0, 0.09700, -1149.12, -6365.52, 472.5, -2688.66, -5440.45, -2057.49
0, 0.09800, 968.516, -7057.42, -2618.12, -1837.08, -6052.63, -5192.6
0, 0.09900, 1177.2, -6129.35, -6834.68, -2780.29, -4218.88, -8834.95
0, 0.10000, -1901.79, -5016.66, -9205.8, -6422.59, -1678.68, -11218.8
0, 0.10100, -7099.9, -5315.13, -8638.32, -11720, 296.377, -11577.4
0, 0.10200, -11781.4, -8948.51, -5380.1, -16535.4, -1774.03, -10391.8
0, 0.10300, -13345.5, -15546.9, -2412.94, -18878, -7659.06, -9973.5
0, 0.10400, -10907.5, -23187.5, -2606.53, -18578.3, -15129.3, -12807.2
0, 0.10500, -6893.59, -28900.5, -7828.07, -17570.1, -20363.4, -19889.5
0, 0.10600, -4695.79, -31334.2, -17964.6, -19137.1, -20943.5, -30423.4
0, 0.10700, -8181.88, -31300.6, -27357.4, -25957.2, -17320.4, -40722.5
0, 0.10800, -18005.6, -32030.6, -32248.8, -38059.2, -13519.9, -47737.9
0, 0.10900, -29984.2, -37161, -31097.9, -52465.8, -13692.9, -50684.3
0, 0.11000, -39861.8, -47992.8, -26334.1, -64995.3, -20419.5, -51196.8
0, 0.11100, -42656.1, -64278.3, -23329.9, -72446.4, -34492, -53347.8
0, 0.11200, -39677.9, -80868.2, -25830.2, -74742.7, -48868.2, -59722.5
0, 0.11300, -34046, -94091.9, -36044.7, -74915.3, -57723.9, -72392.3
0, 0.11400, -30871.3, -101554, -50337.6, -75760.6, -60079.8, -88019.8
0, 0.11500, -33436.3, -103135, -64515.6, -79597.9, -56094, -103424
0, 0.11600, -41791.2, -101982, -71678.6, -88065.4, -49512.1, -115169
0, 0.11700, -53102.9, -99689.4, -72398.1, -98085, -44452.8, -121442
0, 0.11800, -63527.1, -98455, -67037.6, -107595, -43584.8, -122366
0, 0.11900, -70012.5, -98872.5, -58540.3, -114437, -47282.4, -119391
0, 0.12000, -71270.3, -100512, -50063.3, -117504, -54127.8, -114420
