hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 0.00017, 204.404, -42.4925, 213.401, -162.647, 211.502, 76.7343, 612.189, -49.0162, 714.383, 177.522, 532.407, 54.0967
0, 0.00033, 204.404, -42.4925, 213.401, -162.647, 211.502, 76.7343, 612.181, -49.0153, 714.376, 177.523, 532.396, 54.097
0, 0.00050, 204.404, -42.4925, 213.401, -162.647, 211.502, 76.7343, 612.181, -49.0152, 714.378, 177.523, 532.396, 54.0968
0, 0.00067, 204.404, -42.4925, 213.401, -162.647, 211.502, 76.7343, 612.181, -49.0151, 714.379, 177.523, 532.396, 54.0967
0, 0.00083, 204.404, -42.4925, 213.401, -162.647, 211.502, 76.7343, 612.181, -49.0151, 714.381, 177.522, 532.395, 54.0965
0, 0.00100, 204.404, -42.4925, 213.401, -162.647, 211.502, 76.7343, 612.181, -49.015, 714.383, 177.522, 532.395, 54.0964
0, 0.00117, 204.404, -42.4925, 213.401, -162.647, 211.502, 76.7344, 612.182, -49.0149, 714.384, 177.522, 532.395, 54.0963
0, 0.00133, 204.404, -42.4925, 213.401, -162.647, 211.502, 76.7344, 612.183, -49.0149, 714.386, 177.522, 532.394, 54.0962
0, 0.00150, 204.404, -42.4925, 213.4, -162.647, 211.502, 76.7344, 612.184, -49.0148, 714.387, 177.522, 532.394, 54.0961
0, 0.00167, 204.404, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.185, -49.0147, 714.389, 177.522, 532.393, 54.096
0, 0.00183, 204.404, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.186, -49.0147, 714.39, 177.522, 532.392, 54.096
0, 0.00200, 204.404, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.187, -49.0146, 714.391, 177.522, 532.392, 54.0959
0, 0.00217, 204.404, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.188, -49.0146, 714.392, 177.522, 532.391, 54.0959
0, 0.00233, 204.404, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.19, -49.0146, 714.393, 177.522, 532.39, 54.0959
0, 0.00250, 204.404, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.191, -49.0146, 714.394, 177.521, 532.39, 54.0959
0, 0.00267, 204.404, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.193, -49.0146, 714.394, 177.521, 532.389, 54.0959
0, 0.00283, 204.404, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.195, -49.0146, 714.394, 177.521, 532.388, 54.096
0, 0.00300, 204.404, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.196, -49.0147, 714.395, 177.521, 532.388, 54.096
0, 0.00317, 204.404, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.198, -49.0147, 714.395, 177.521, 532.388, 54.0961
0, 0.00333, 204.404, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.199, -49.0148, 714.395, 177.521, 532.388, 54.0961
0, 0.00350, 204.404, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.201, -49.0149, 714.394, 177.521, 532.388, 54.0962
0, 0.00367, 204.404, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.202, -49.0149, 714.394, 177.521, 532.388, 54.0963
0, 0.00383, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.204, -49.0151, 714.394, 177.521, 532.388, 54.0964
0, 0.00400, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.205, -49.0152, 714.393, 177.521, 532.388, 54.0965
0, 0.00417, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7344, 612.206, -49.0153, 714.393, 177.52, 532.389, 54.0966
0, 0.00433, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7343, 612.207, -49.0154, 714.392, 177.52, 532.389, 54.0967
0, 0.00450, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7343, 612.208, -49.0156, 714.391, 177.52, 532.39, 54.0968
0, 0.00467, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7343, 612.209, -49.0157, 714.391, 177.52, 532.391, 54.0968
0, 0.00483, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7343, 612.209, -49.0158, 714.39, 177.52, 532.392, 54.0969
0, 0.00500, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7343, 612.21, -49.016, 714.389, 177.52, 532.393, 54.097
0, 0.00517, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7343, 612.21, -49.0161, 714.389, 177.52, 532.395, 54.097
0, 0.00533, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7343, 612.21, -49.0163, 714.388, 177.52, 532.396, 54.0971
0, 0.00550, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7343, 612.21, -49.0164, 714.388, 177.52, 532.397, 54.0971
0, 0.00567, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7343, 612.21, -49.0165, 714.387, 177.52, 532.399, 54.0971
0, 0.00583, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7343, 612.21, -49.0167, 714.387, 177.52, 532.4, 54.0971
0, 0.00600, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7343, 612.21, -49.0168, 714.387, 177.52, 532.402, 54.0971
0, 0.00617, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7343, 612.209, -49.0169, 714.387, 177.521, 532.404, 54.0971
0, 0.00633, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7343, 612.209, -49.017, 714.387, 177.521, 532.405, 54.097
0, 0.00650, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7343, 612.208, -49.0171, 714.387, 177.521, 532.407, 54.097
0, 0.00667, 204.403, -42.4926, 213.4, -162.647, 211.502, 76.7343, 612.207, -49.0172, 714.387, 177.521, 532.408, 54.0969
