hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 0.00100, -95.2699, 0.00485976, -96.9143, -0.00395014, -99.9203, 0.000844225
0, 0.00200, -95.2691, 0.000315776, -96.9134, -0.000252745, -99.9214, 6.90889E-005
0, 0.00300, -95.269, 3.04497E-005, -96.9133, -2.91583E-005, -99.9215, 1.05547E-005
0, 0.00400, -95.269, 2.835E-006, -96.9133, -3.0985E-006, -99.9215, 1.47578E-006
0, 0.00500, -95.269, 2.4703E-007, -96.9133, -3.11862E-007, -99.9215, 1.87261E-007
0, 0.00600, -95.269, 1.94755E-008, -96.9133, -2.97333E-008, -99.9215, 2.20966E-008
0, 0.00700, -95.269, 1.27851E-009, -96.9133, -2.64387E-009, -99.9215, 2.46159E-009
0, 0.00800, -95.269, 4.84615E-011, -96.9133, -1.9863E-010, -99.9215, 2.60698E-010
0, 0.00900, -95.269, -4.02724E-012, -96.9133, 4.49472E-012, -99.9215, 2.63026E-011
0, 0.01000, -95.269, -1.31695E-012, -96.9133, 1.92995E-011, -99.9215, 2.53203E-012
0, 0.01100, -95.269, -2.21917E-013, -96.9133, 2.00653E-011, -99.9215, 2.25555E-013
0, 0.01200, -95.269, -3.63798E-015, -96.9133, 2.00325E-011, -99.9215, 2.18279E-014
0, 0.01300, -95.269, 1.09139E-014, -96.9133, 2.0038E-011, -99.9215, 2.18279E-014
0, 0.01400, -95.269, 1.09139E-014, -96.9133, 2.0038E-011, -99.9215, 0
0, 0.01500, -95.269, 1.09139E-014, -96.9133, 2.0038E-011, -99.9215, 0
0, 0.01600, -95.269, 1.09139E-014, -96.9133, 2.0038E-011, -99.9215, 0
0, 0.01700, -95.269, 1.09139E-014, -96.9133, 2.0038E-011, -99.9215, 0
0, 0.01800, -95.269, 1.09139E-014, -96.9133, 2.0038E-011, -99.9215, 0
0, 0.01900, -95.269, 1.09139E-014, -96.9133, 2.0038E-011, -99.9215, 0
0, 0.02000, -95.269, 1.09139E-014, -96.9133, 2.0038E-011, -99.9215, 0
0, 0.02100, -1.0989, -2.03338, -1.09674, -1.9685, -1.04807, -2.0096
0, 0.02200, -1.10183, -2.0757, -1.09331, -2.01008, -1.05711, -2.0477
0, 0.02300, -1.13334, -2.05764, -1.1245, -1.98727, -1.08873, -2.01692
0, 0.02400, -1.10034, -2.0479, -1.0837, -1.97033, -1.05021, -2.00579
0, 0.02500, -1.10913, -2.08787, -1.08604, -2.01133, -1.06733, -2.04193
0, 0.02600, -1.13606, -2.06337, -1.11575, -1.98455, -1.09068, -2.00602
0, 0.02700, -1.10097, -2.05868, -1.074, -1.97201, -1.05057, -2.00436
0, 0.02800, -1.11569, -2.09577, -1.0824, -2.01196, -1.0749, -2.03678
0, 0.02900, -1.13732, -2.06619, -1.10915, -1.98123, -1.08999, -1.99754
0, 0.03000, -1.10129, -2.06735, -1.06652, -1.97401, -1.0505, -2.00464
0, 0.03100, -1.12165, -2.10078, -1.08111, -2.01211, -1.08093, -2.03199
0, 0.03200, -1.13738, -2.06741, -1.10368, -1.97774, -1.08779, -1.991
0, 0.03300, -1.1016, -2.07475, -1.06071, -1.97646, -1.05065, -2.00607
0, 0.03400, -1.12704, -2.10369, -1.08137, -2.01177, -1.08589, -2.02734
0, 0.03500, -1.13645, -2.06783, -1.09876, -1.97432, -1.08466, -1.98608
0, 0.03600, -1.10208, -2.08134, -1.05627, -1.97934, -1.0513, -2.00822
0, 0.03700, -1.13187, -2.10499, -1.08263, -2.01088, -1.08999, -2.02268
0, 0.03800, -1.13471, -2.06791, -1.09406, -1.97116, -1.08098, -1.98257
0, 0.03900, -1.10288, -2.08732, -1.05302, -1.9826, -1.05259, -2.01077
0, 0.04000, -1.1361, -2.10502, -1.0845, -2.00942, -1.0933, -2.01795
0, 0.04100, -1.13234, -2.06798, -1.0894, -1.96839, -1.077, -1.9803
0, 0.04200, -1.10409, -2.09278, -1.05087, -1.98613, -1.05453, -2.01343
0, 0.04300, -1.13973, -2.10403, -1.08665, -2.00739, -1.09582, -2.01314
0, 0.04400, -1.12951, -2.06826, -1.08471, -1.96613, -1.0729, -1.97914
0, 0.04500, -1.10576, -2.09773, -1.04975, -1.98982, -1.0571, -2.01598
0, 0.04600, -1.1427, -2.10222, -1.08884, -2.00481, -1.09756, -2.0083
0, 0.04700, -1.12639, -2.06888, -1.07996, -1.96447, -1.06886, -1.979
0, 0.04800, -1.10791, -2.10215, -1.0496, -1.99352, -1.06022, -2.01825
0, 0.04900, -1.14499, -2.09977, -1.09086, -2.00173, -1.09849, -2.00347
0, 0.05000, -1.12312, -2.06994, -1.0752, -1.96346, -1.06501, -1.97978
0, 0.05100, -1.11053, -2.106, -1.05036, -1.99712, -1.06381, -2.02008
0, 0.05200, -1.14658, -2.09686, -1.09255, -1.99823, -1.09864, -1.99874
0, 0.05300, -1.11767, -2.06745, -1.06862, -1.95975, -1.05965, -1.97792
0, 0.05400, -1.10817, -2.09913, -1.047, -1.9912, -1.06264, -2.01178
0, 0.05500, -1.13969, -2.07936, -1.08653, -1.98107, -1.09047, -1.98034
0, 0.05600, -1.10775, -2.05692, -1.05742, -1.94791, -1.04972, -1.96745
0, 0.05700, -1.10754, -2.09415, -1.0454, -1.98679, -1.06267, -2.00476
0, 0.05800, -1.13784, -2.07229, -1.08519, -1.97334, -1.08703, -1.97229
0, 0.05900, -1.1044, -2.05859, -1.05258, -1.9481, -1.04667, -1.96937
