hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 0.00100, -95.6384, 0.00429673, -97.3034, 0.000343378, -99.1752, 0.0031362
0, 0.00200, -95.6376, 7.38301E-005, -97.3026, 5.25352E-005, -99.1745, 7.03975E-005
0, 0.00300, -95.6376, 1.49266E-006, -97.3025, 1.04392E-006, -99.1745, 1.42859E-006
0, 0.00400, -95.6376, 2.97304E-008, -97.3025, 2.08294E-008, -99.1745, 2.84295E-008
0, 0.00500, -95.6376, 5.91655E-010, -97.3025, 4.34251E-010, -99.1745, 5.65815E-010
0, 0.00600, -95.6376, 1.18089E-011, -97.3025, 2.83562E-011, -99.1745, 1.1285E-011
0, 0.00700, -95.6376, 1.96451E-013, -97.3025, 2.03054E-011, -99.1745, 2.32831E-013
0, 0.00800, -95.6376, -4.36557E-014, -97.3025, 2.01726E-011, -99.1745, 0
0, 0.00900, -95.6376, 1.45519E-014, -97.3025, 2.00944E-011, -99.1745, -2.18279E-014
0, 0.01000, -95.6376, 1.45519E-014, -97.3025, 2.0118E-011, -99.1745, -2.18279E-014
0, 0.01100, -95.6376, 1.09139E-014, -97.3025, 2.01053E-011, -99.1745, -7.27596E-015
0, 0.01200, -95.6376, -7.27596E-015, -97.3025, 2.01562E-011, -99.1745, -7.27596E-015
0, 0.01300, -95.6376, 0, -97.3025, 2.01508E-011, -99.1745, -1.45519E-014
0, 0.01400, -95.6376, -2.18279E-014, -97.3025, 2.01053E-011, -99.1745, 0
0, 0.01500, -95.6376, 1.09139E-014, -97.3025, 2.0098E-011, -99.1745, -1.45519E-014
0, 0.01600, -95.6376, 7.27596E-015, -97.3025, 2.01326E-011, -99.1745, -2.18279E-014
0, 0.01700, -95.6376, 4.36557E-014, -97.3025, 2.00998E-011, -99.1745, 0
0, 0.01800, -95.6376, 0, -97.3025, 2.00816E-011, -99.1745, -2.91038E-014
0, 0.01900, -95.6376, -3.63798E-015, -97.3025, 2.00998E-011, -99.1745, -2.18279E-014
0, 0.02000, -95.6376, -3.63798E-015, -97.3025, 2.00998E-011, -99.1745, -2.18279E-014
0, 0.02100, -1.10005, -2.03344, -1.09628, -1.96955, -1.04737, -2.00851
0, 0.02200, -1.1031, -2.07572, -1.09268, -2.01096, -1.05651, -2.04676
0, 0.02300, -1.1343, -2.05751, -1.12404, -1.98814, -1.08817, -2.0161
0, 0.02400, -1.10113, -2.04796, -1.08335, -1.97092, -1.04972, -2.00515
0, 0.02500, -1.10997, -2.08789, -1.08559, -2.01183, -1.06696, -2.04135
0, 0.02600, -1.13667, -2.06331, -1.11543, -1.98503, -1.09031, -2.00552
0, 0.02700, -1.10148, -2.05876, -1.07373, -1.97233, -1.05027, -2.00399
0, 0.02800, -1.11622, -2.0958, -1.08209, -2.01223, -1.0747, -2.03642
0, 0.02900, -1.13769, -2.06619, -1.10892, -1.98149, -1.08976, -1.99721
0, 0.03000, -1.10162, -2.06744, -1.06632, -1.97418, -1.05033, -2.00442
0, 0.03100, -1.12198, -2.10082, -1.0809, -2.01226, -1.08082, -2.03175
