hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 0.00100, 220.867, -69.1889, 224.713, 172.667, 229.035, 50.8778, 433.013, 110.814, 433.013, -7.33259, 433.013, -129.12
0, 0.00200, 220.866, -69.1893, 224.711, 172.667, 229.034, 50.8774, 433.013, 110.811, 433.013, -7.333, 433.013, -129.123
0, 0.00300, 220.866, -69.1893, 224.711, 172.667, 229.034, 50.8774, 433.013, 110.811, 433.013, -7.33303, 433.013, -129.123
0, 0.00400, 220.866, -69.1893, 224.711, 172.667, 229.034, 50.8774, 433.013, 110.811, 433.013, -7.33303, 433.013, -129.123
0, 0.00500, 220.866, -69.1893, 224.711, 172.667, 229.034, 50.8774, 433.013, 110.811, 433.013, -7.33303, 433.013, -129.123
0, 0.00600, 220.866, -69.1893, 224.711, 172.667, 229.034, 50.8774, 433.013, 110.811, 433.013, -7.33303, 433.013, -129.123
0, 0.00700, 220.866, -69.1893, 224.711, 172.667, 229.034, 50.8774, 433.013, 110.811, 433.013, -7.33303, 433.013, -129.123
0, 0.00800, 220.866, -69.1893, 224.711, 172.667, 229.034, 50.8774, 433.013, 110.811, 433.013, -7.33303, 433.013, -129.123
0, 0.00900, 220.866, -69.1893, 224.711, 172.667, 229.034, 50.8774, 433.013, 110.811, 433.013, -7.33303, 433.013, -129.123
0, 0.01000, 220.866, -69.1893, 224.711, 172.667, 229.034, 50.8774, 433.013, 110.811, 433.013, -7.33303, 433.013, -129.123
0, 0.01100, 220.866, -69.1893, 224.711, 172.667, 229.034, 50.8774, 433.013, 110.811, 433.013, -7.33303, 433.013, -129.123
0, 0.01200, 220.866, -69.1893, 224.711, 172.667, 229.034, 50.8774, 433.013, 110.811, 433.013, -7.33303, 433.013, -129.123
0, 0.01300, 220.866, -69.1893, 224.711, 172.667, 229.034, 50.8774, 433.013, 110.811, 433.013, -7.33303, 433.013, -129.123
0, 0.01400, 220.866, -69.1893, 224.711, 172.667, 229.034, 50.8774, 433.013, 110.811, 433.013, -7.33303, 433.013, -129.123
0, 0.01500, 220.866, -69.1893, 224.711, 172.667, 229.034, 50.8774, 433.013, 110.811, 433.013, -7.33303, 433.013, -129.123
